,Open,High,Low,Close,Volume,ATR,MA20,MA60,High_20,RSI,Entry_Status,Score,Stop_Loss,Take_Profit,Fib_0.236,Fib_0.382,Fib_0.500,Fib_0.618,Fib_0.786
2383.TW,2905.0,2915.0,2720.0,2810.0,4447340.0,186.07142857142858,2457.25,1949.25,2970.0,67.5172865599134,,0.44158009490829797,2602.8571428571427,2970.0,2876.78,2819.11,2772.5,2725.89,2659.5299999999997
1785.TWO,104.5,107.0,94.69999694824219,95.5999984741211,36146220.0,6.94285774230957,73.78000011444092,67.07333329518636,104.5,74.08493007436766,,0.42530561368391107,93.11428451538086,107.0,104.09719927978516,102.30139883422852,100.8499984741211,99.39859811401367,97.33219760131836
3105.TWO,372.0,381.0,340.0,344.0,62022385.0,27.714285714285715,305.05,241.93333333333334,354.5,63.79292869124547,,0.42187930559382747,325.57142857142856,381.0,369.436,362.282,356.5,350.718,342.486
8096.TWO,90.0,94.9000015258789,85.9000015258789,87.0999984741211,40040112.0,6.792857578822544,73.275,61.540833155314125,91.5999984741211,67.01829090234182,,0.4153204304904654,81.31428636823382,94.9000015258789,92.70520080566406,91.34740036010743,90.25,89.15259963989257,87.59019912719727
4977.TW,199.5,211.0,199.0,200.5,28278553.0,15.714285714285714,166.65,143.38333333333333,197.5,70.19600037453291,,0.3983494129954668,179.57142857142858,211.0,202.858,197.821,193.75,189.679,183.883
2313.TW,230.0,233.0,216.0,222.0,60360514.0,19.285714285714285,211.075,158.96333351135254,249.0,59.74728745820756,,0.3965484687331724,212.64285714285714,249.0,233.424,223.788,216.0,208.212,197.124
4908.TWO,120.0,123.0,110.5,114.5,23811377.0,9.042857033865792,96.5099998474121,82.50166664123535,113.5,69.94793633400494,,0.38785075091769716,104.91428593226841,123.0,117.45400000000001,114.023,111.25,108.477,104.529
3529.TWO,2765.0,2805.0,2660.0,2700.0,996258.0,175.71428571428572,2448.25,1962.8333333333333,2845.0,64.39802430066376,,0.3755625371486797,2492.1428571428573,2845.0,2790.72,2757.14,2730.0,2702.86,2664.22
3533.TW,2020.0,2190.0,1965.0,2065.0,2473589.0,129.28571428571428,1716.25,1506.9166666666667,2030.0,70.25716149949935,,0.37034784051318903,1931.4285714285716,2190.0,2119.2,2075.4,2040.0,2004.6,1954.2
3131.TWO,2260.0,2455.0,2260.0,2365.0,1408340.0,142.5,1886.0,1727.3333333333333,2340.0,76.24487249277706,,0.3691624855268236,2170.0,2455.0,2372.4,2321.3,2280.0,2238.7,2179.9
2368.TW,1030.0,1040.0,934.0,988.0,25370966.0,63.857142857142854,849.95,731.8166666666667,1005.0,68.71406900583548,,0.350064906966681,912.2857142857143,1040.0,1008.612,989.194,973.5,957.806,935.462
2369.TW,34.0,35.75,32.650001525878906,35.75,104138147.0,2.107142857142857,28.13499994277954,26.488333225250244,33.20000076293945,73.39020199047359,,0.3496507951629433,31.535714285714285,35.75,33.036,31.357,30.0,28.643,26.711
5274.TWO,11805.0,12345.0,11750.0,11750.0,305350.0,722.8571428571429,10140.0,8741.083333333334,12450.0,67.2053709216972,,0.3442269741546147,11056.42857142857,12450.0,12049.98,11802.51,11602.5,11402.49,11117.73
2451.TW,335.0,335.0,292.0,302.0,23619978.0,19.392857142857142,236.65,225.71666666666667,313.5,70.71881833805315,,0.33796057003618096,296.2142857142857,335.0,324.852,318.574,313.5,308.426,301.202
6770.TW,77.0999984741211,78.0,71.69999694824219,75.5,528203081.0,5.650000435965402,68.25000019073487,57.2658332824707,78.9000015258789,63.08144445821583,,0.31841266724587847,67.92857197352818,78.9000015258789,77.41320080566406,76.49340036010742,75.75,75.00659963989258,73.94819912719727
3653.TW,3910.0,3920.0,3810.0,3850.0,1147188.0,237.5,3334.25,2921.9166666666665,4055.0,64.5168782751488,,0.31762826911559205,3575.714285714286,4055.0,4010.16,3982.42,3960.0,3937.58,3905.66
3017.TW,2010.0,2060.0,1945.0,2050.0,6978194.0,128.92857142857142,1785.0,1558.3333333333333,2035.0,69.05594220792662,,0.3155080213903745,1802.142857142857,2060.0,2006.9,1974.05,1947.5,1920.95,1883.15
4967.TW,287.5,288.5,245.5,261.5,36699036.0,18.464285714285715,207.625,199.73333333333332,271.0,68.57627478419764,,0.3092456608811749,251.57142857142856,288.5,278.352,272.074,267.0,261.926,254.702
4989.TW,75.0,77.0,72.30000305175781,74.4000015258789,43087314.0,6.0714280264718195,66.64000015258789,56.91083348592122,77.30000305175781,63.28442355511474,,0.3073082393756228,64.85714394705636,77.30000305175781,75.10520233154297,73.74740188598633,72.6500015258789,71.55260116577148,69.99020065307617
6805.TW,1980.0,2015.0,1920.0,2000.0,1514363,131.78571428571428,1733.25,1550.9166666666667,2020.0,67.67140327223927,,0.28955993767126964,1751.4285714285716,2020.0,1953.92,1913.04,1880.0,1846.96,1799.92
2455.TW,238.5,244.0,227.0,230.0,25866089.0,19.428571428571427,217.15,178.86666666666667,262.0,58.82102248282813,,0.2858740216175921,230.64285714285714,262.0,252.324,246.338,241.5,236.662,229.774
3715.TW,193.0,194.5,176.0,178.5,65560289.0,13.571428571428571,155.425,140.025,190.5,62.32089193362842,,0.2747723620782003,167.35714285714286,194.5,188.6,184.95,182.0,179.05,174.85
